Treat,Sample_type,Layer,Spot,Sample,Replicat,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
Sp,Soil_Sp,0_10,1215,1215_0_10,0,7404,1314.019,976.712,364.434,104.523,90.191,63.097,0.701,117.388,1324,913,103.799,103.029,1.159,0.863,0.931
Sp,Soil_Sp,0_10,1215,1215_0_10,0,518,1006.998,984.044,96.284,38.624,17.076,82.478,0.702,37.947,1002,1003,71.565,18,2.262,0.442,0.922
Sp,Soil_Sp,0_10,1215,1215_0_10,0,1904,1619.909,1076.274,175.296,57.094,42.46,81.157,0.779,61.057,1604,1105,58.392,42,1.345,0.744,0.935
Sp,Soil_Sp,0_10,1215,1215_0_10,2,6,751.833,3,9.657,3.718,2.055,90,0.809,4.123,751,1,104.036,2,1.809,0.553,0.857
Sp,Soil_Sp,0_10,1215,1215_0_10,2,19,755.763,13.342,27.799,9.898,2.444,120.095,0.309,13.038,751,7,122.471,4.025,4.05,0.247,0.576
Sp,Soil_Sp,0_10,1215,1215_0_10,2,5494,889.741,111.635,676.749,166.021,42.134,149.449,0.151,228.473,773,30,150.068,93.696,3.94,0.254,0.419
Sp,Soil_Sp,0_10,1215,1215_0_10,2,3608,1499.93,263.778,578.115,97.216,47.254,67.627,0.136,178.135,1494,363,61.133,96.925,2.057,0.486,0.287
Sp,Soil_Sp,0_10,1215,1215_0_10,2,2050,555.081,424.85,300.877,104.69,24.932,113.896,0.285,115.412,534,373,117.897,37.74,4.199,0.238,0.599
Sp,Soil_Sp,0_10,1215,1215_0_10,2,1857,1871.254,459.794,348.576,98.953,23.894,83.624,0.192,138.232,1882,527,86.682,42.26,4.141,0.241,0.46
Sp,Soil_Sp,0_10,1215,1215_0_10,2,170,1236.853,590.941,47.456,14.79,14.635,1.721,0.949,16.125,1233,598,60.255,14,1.011,0.989,0.942
Sp,Soil_Sp,0_10,1215,1215_0_10,2,452,2361.562,645.153,87.497,34.749,16.562,68.355,0.742,34.015,2353,660,65.695,17.393,2.098,0.477,0.914
Sp,Soil_Sp,0_10,1215,1215_0_10,2,1028,903.554,727.521,123.882,39.93,32.78,138.829,0.842,42.802,883,720,142.595,34.391,1.218,0.821,0.948
Sp,Soil_Sp,0_10,1215,1215_0_10,2,1252,953.421,1035.351,177.439,76.925,20.723,112.354,0.5,74.324,938,1001,113.806,23.15,3.712,0.269,0.873
Sp,Soil_Sp,0_10,1215,1215_0_10,2,436,1890.447,1281.587,80.184,24.035,23.097,175.754,0.852,26.907,1882,1271,131.987,23,1.041,0.961,0.932
Sp,Soil_Sp,0_10,1215,1215_0_10,2,1547,1057.033,1338.56,188.066,83.049,23.717,150.004,0.55,79.925,1023,1316,148.299,24.844,3.502,0.286,0.902
Sp,Soil_Sp,0_10,1215,1215_0_10,2,2610,1095.334,1407.13,210.368,65.632,50.633,52.843,0.741,74.277,1065,1430,43.363,55.032,1.296,0.771,0.91
Sp,Soil_Sp,0_10,1215,1215_0_10,2,1244,1641.206,1787.363,141.154,45.494,34.816,15.37,0.785,47.508,1630,1809,49.268,38,1.307,0.765,0.907
Sp,Soil_Sp,0_10,1215,1215_0_10,3,467,520.059,516.686,85.012,31.88,18.651,26.489,0.812,32.757,507,527,31.264,20.178,1.709,0.585,0.92
Sp,Soil_Sp,0_10,1215,1215_0_10,3,3889,425.962,741.259,407.404,107.23,46.178,133.547,0.294,128.725,368,713,136.259,57.782,2.322,0.431,0.723
Sp,Soil_Sp,0_10,1215,1215_0_10,3,6,395,736,9.071,3.988,1.916,161.565,0.916,4.472,393,735,153.435,2,2.082,0.48,0.857
Sp,Soil_Sp,0_10,1215,1215_0_10,3,391,657.641,756.633,75.255,24.002,20.741,13.744,0.868,25.239,646,762,33.69,21.913,1.157,0.864,0.933
Sp,Soil_Sp,0_10,1215,1215_0_10,3,352,1628.219,795.75,71.255,25.999,17.238,53.476,0.871,26.627,1621,807,55.713,18.305,1.508,0.663,0.93
Sp,Soil_Sp,0_10,1215,1215_0_10,3,1770,1770.08,903.24,230.593,72.673,31.011,91.287,0.418,84.149,1781,946,86.594,40.641,2.343,0.427,0.68
Sp,Soil_Sp,0_10,1215,1215_0_10,3,2774,1039.183,1016.001,249.279,71.528,49.379,22.35,0.561,80.523,1007,1028,14.381,58.603,1.449,0.69,0.796
Sp,Soil_Sp,0_10,1215,1215_0_10,3,4587,1007.492,1128.051,473.654,219.182,26.646,54.474,0.257,209.01,952,1217,52.582,32.917,8.226,0.122,0.743
Sp,Soil_Sp,0_10,1215,1215_0_10,3,4,1005.5,1081,7.071,3.216,1.583,31.717,1,3.606,1004,1082,33.69,2,2.031,0.492,0.8
Sp,Soil_Sp,0_10,1215,1215_0_10,3,14764,1135.743,1395.748,1828.511,183.133,102.647,40.639,0.055,497.122,1015,1688,38.138,321.872,1.784,0.561,0.141
Sp,Soil_Sp,0_10,1215,1215_0_10,3,379,2427.922,1558.376,75.841,27.16,17.767,50.3,0.828,27.803,2419,1569,52.306,19.006,1.529,0.654,0.921
Sp,Soil_Sp,10_30,1215,1215_10_30,0,576,684.943,480.238,95.74,32.979,22.238,33.256,0.79,35,673,495,36.87,23.07,1.483,0.674,0.912
Sp,Soil_Sp,10_30,1215,1215_10_30,0,512,1520.322,641.67,89.497,28.039,23.25,158.145,0.803,29.833,1509,631,140.44,24.462,1.206,0.829,0.918
Sp,Soil_Sp,10_30,1215,1215_10_30,0,552,474.562,728.373,103.983,37.888,18.55,164.802,0.642,38.626,457,720,158.749,21.339,2.042,0.49,0.859
